"Wish List Sharing","Partage de liste d'envies"
"My Wish List","Ma liste d'envies"
"This product(s) is out of stock.","Ces produits sont épuisés."
"%1 has been moved to your wish list.","%1 a été déplacé dans votre liste d'envies."
"Message length must not exceed %1 symbols","La longueur du message ne peut pas dépasser %1 caractères."
"This wish list can be shared %1 more times.","Cette liste d'envies peut être partagée %1 fois."
"Your wish list has been shared.","Votre liste d'envies a bien été partagée."
"%1 has been updated in your Wish List.","%1 a bien été mis à jour dans votre liste d'envies."
"Display number of items in wish list","Afficher le nombre de produit de la liste d'envies"
"Cannot specify product.","Impossible de spécifier le produit."
"Product is not salable.","Le produit n'est pas achetable."
"Invalid item option format.","Format d'option d'élément invalide."
"%1 for ""%2"".","%1 pour ""%2""."
"%1 product(s) have been added to shopping cart: %2.","%1 produits ont été ajoutés à votre panier : %2."
Comment:,"Commentaire :"
"We cannot retrieve the Wish List.","Impossible de récuperer la liste d'envies."
error-message,error-message
"Product Exception.","Product Exception."
"Share Wish List","Partager la liste d'envies"
"Add All to Cart","Tout ajouter au panier"
"Update Wish List","Mettre à jour la liste d'envies"
"Move to Wishlist","Ajouter à la <br/>liste d'envies"
"View Product","Voir produit"
"This Wish List has no Items","Cette liste d'envies n'a aucun produit"
"Options Details","Détails des options"
"RSS Feed","Flux RSS"
"Wish List is empty now.","La liste d'envies est vide."
"Sharing Information","Information de partage"
"Email addresses, separated by commas","Adresses e-mail, séparées par des virgules"
"Check here to link an RSS feed to your Wish List.","Cocher cette case pour activer le flux RSS de votre liste d'envies."
"Last Added Items","Derniers articles ajoutés"
"Go to Wish List","Allez à la liste d'envies"
"You have no items in your wish list.","Il n'y a aucun produit dans votre liste d'envies."
"Are you sure you want to remove this product from your Wish List?","Êtes-vous sûr de vouloir supprimer ce produit de votre liste d'envies ?"
"%customer_name wants to share this Wish List from %store_name with you:","%customer_name désire partager cette liste d'envies de %store_name avec vous : "
"Message from %customer_name:","Message de la part de %customer_name : "
"View all Wish List items","Voir tous les produits de la liste d'envies"
"Share Options","Options de partage"
"Max Emails Allowed to be Sent","Nombre maximal de destinataires"
"Email Text Length Limit","Longueur maximal du texte du message"
"My Wish List Link","Mon lien de liste d'envies"
"Display Wish List Summary","Afficher le résumé de la liste d'envies"
"No Items Found","Aucun article trouvé"
"User Description","Description utilisateur"
"Product Details and Comment","Détails du produit et commentaire"
