"Delete Role","Supprimer le rôle"
"Save Role","Enregistrer le rôle"
Roles,Rôles
"Add New Role","Nouveau rôle"
"Role Information","Informations du rôle"
"Role Users","Utilisateurs ayant ce rôle"
"User ID","ID utilisateur"
"Role Resources","Ressources du rôle"
"Role Info","Infos du rôle"
"Role Name","Nom du rôle"
"Add New User","Nouvel utilisateur"
Users,Utilisateurs
"Save User","Enregistrer l\'utilisateur"
"Delete User","Supprimer l\'utilisateur"
"Are you sure you want to revoke the user\'s tokens?","Êtes-vous sûr de vouloir révoquer les jetons de l\\'utilisateur ?"
"Edit User '%1'","Modifier l\'utilisateur \'%1\'"
"New User","Nouvel utilisateur"
"This account is","Ce compte est"
"Account Status","Statut du compte"
"User Roles Information","Informations rôle utilisateur"
Assigned,Affecté
"User Information","Informations de l\'utilisateur"
"User Info","Infos de l\'utilisateur"
"User Role","Rôle de l\'utilisateur"
"Please correct the password reset token.","Veuillez corriger le jeton de réinitialisation de mot de passe."
"Please specify the correct account and try again.","Veuillez spécifier un compte correcte et essayez à nouveau."
"Please correct this email address:","Veuillez corriger cette adresse e-mail :"
"Please enter an email address.","Veuillez renseigner une adresse e-mail."
"Locked Users","Utilisateurs bloqués"
"Unlocked %1 user(s).","%1 utilisateur(s) débloqué(s)."
Permissions,Permissions
"You cannot delete your own account.","Vous ne pouvez pas supprimer votre propre compte."
"You deleted the user.","Utilisateur supprimé."
"This user no longer exists.","Cet utilisateur n\'existe plus."
"Edit User","Modifier l\'utilisateur"
"You cannot delete self-assigned roles.","Vous ne pouvez pas supprimer des rôles auto-attribué."
"You deleted the role.","Rôle supprimé."
"An error occurred while deleting this role.","Erreur lors de la suppression de ce rôle."
"Edit Role","Modifier le rôle"
"New Role","Nouveau rôle"
"This role no longer exists.","Ce rôle n\'existe plus."
"You saved the role.","Rôle enregistré."
"An error occurred while saving this role.","Erreur lors de la sauvegarde de ce rôle."
"You saved the user.","Utilisateur enregistré."
"A user with the same user name or email already exists.","Un utilisateur avec le même nom d\'utilisateur ou la même adresse e-mail existe déjà."
Recommended,Recommandé
Forced,Forcé
"Sorry, but this password has already been used. Please create another.","Désolé, ce mot de passe à déjà été utilisé. Merci d\'en utiliser un autre."
"User Name is a required field.","Nom d\'utilisateur est un champ obligatoire."
"First Name is a required field.","Prénom est un champ obligatoire."
"Last Name is a required field.","Nom est un champ obligatoire."
"Password is required field.","Mot de passe est un champ obligatoire."
"Your password must be at least %1 characters.","Le mot de passe doit contenir au minimum %1 caractères."
"Your password must include both numeric and alphabetic characters.","Le mot de passe doit contenir des caracètres numérique et alphanumériques."
"Your password confirmation must match your password.","Le mot de passe de confirmation ne correspond pas au mot de passe renseigné."
"Your password has expired; please contact your administrator.","Votre mot de passe a expiré. Veuillez contacter votre administrateur."
"Password Help","Aide mot de passe"
"Enter your email address.  You will receive an email with a link to reset your password.","Renseignez votre mot de passe. Vous allez recevoir un e-mail contenant un lien pour réinitialiser votre mot de passe."
"Email address","Adresse mail"
"Retrieve Password","Récupérer mot de passe"
"Back to Sign in","Retourner à la connexion"
"Forgot your password?","Mot de passe oublié ?"
"Reset a Password","Réinitialiser un mot de passe"
"Roles Resources","Ressources des rôles"
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","Attention !\r\nCette action supprimera cet utilisateur des rôles déjà assignés.\r\nÊtes-vous sûr ?"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","Attention !\r\nCette action supprimera ces utilisateurs des rôles déjà assignés.\r\nÊtes-vous sûr ?"
"Thank you,","Merci,"
"If you requested this change, reset your password here:","Si vous avez bien effectué cette demande, reinitialisez votre mot de passe ici : "
"Maximum Login Failures to Lockout Account","Nb maximal d\'erreur de connexion pour bloquer le compte"
"We will disable this feature if the value is empty.","Cette fonctionnalité est désactivée si la valeur est vide."
"Lockout Time (minutes)","Durée de blocage (minutes)"
"Password Lifetime (days)","Durée de vie du mot de passe (en jours)"
"We will disable this feature if the value is empty. ","Cette fonctionnalité est désactivée si la valeur est vide. "
"Password Change","Changement de mot de passe"
Unlock,Débloquer
"Last login","Dernière connexion"
Failures,Echecs
Unlocked,Débloqué
